SYMPTOM,VAERS_ID,AGE_YRS,DIED,L_THREAT,OTHER_MEDS,CUR_ILL,HISTORY,PRIOR_VAX,ALLERGIES,HOSPITAL,F,M,JANSSEN,MODERNA,PFIZER,VAX_DOSE_SERIES_1,VAX_DOSE_SERIES_2,VAX_SITE_LA,VAX_SITE_RA,AGE_GROUP
Blood potassium,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Paralysis,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Face oedema,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Injection site joint pain,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Breast swelling,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Breath sounds abnormal,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Deafness neurosensory,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Angiogram abnormal,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Alanine aminotransferase,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Allergy test,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Walking aid user,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Blood chloride decreased,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Injection site haemorrhage,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Livedo reticularis,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Blood bilirubin increased,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Mean cell haemoglobin concentration normal,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Ultrasound scan abnormal,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Blood blister,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Allodynia,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Thinking abnormal,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Local reaction,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Hypoacusis,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Blood calcium,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Scan with contrast normal,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Rectal haemorrhage,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Encephalopathy,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Face injury,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Blood creatine phosphokinase increased,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Hyponatraemia,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Hypokalaemia,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Sinus congestion,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Trigeminal neuralgia,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Abnormal loss of weight,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Blood thyroid stimulating hormone normal,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Wrong product administered,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Lymphocyte count normal,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Blood magnesium normal,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Blood magnesium,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Protein total decreased,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Activated partial thromboplastin time shortened,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Incontinence,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Influenza A virus test negative,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Oral discomfort,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Eyelid disorder,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
White blood cell count decreased,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Tongue discomfort,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Haematemesis,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Nightmare,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Incoherent,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Maternal exposure during breast feeding,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Ultrasound Doppler normal,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Ultrasound abdomen abnormal,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Brain natriuretic peptide,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Lumbar puncture normal,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Differential white blood cell count,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Pleuritic pain,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Carbon dioxide decreased,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Cardiomegaly,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Vaccination site pruritus,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Blindness unilateral,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Conjunctivitis,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Conjunctival haemorrhage,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Mean platelet volume normal,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Computerised tomogram thorax normal,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Product use issue,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Vaginal haemorrhage,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Urinary retention,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Biopsy skin,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Catheter placement,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Laparoscopic surgery,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Respiratory rate increased,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Menstruation irregular,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Urine analysis abnormal,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Platelet count,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
International normalised ratio normal,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Migraine with aura,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Hyperaesthesia,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Electromyogram abnormal,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Motor dysfunction,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Subdural haematoma,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Mouth swelling,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Atrioventricular block,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Aspiration pleural cavity,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Anticoagulant therapy,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Lymphoedema,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Ankle fracture,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Ventricular tachycardia,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Coordination abnormal,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Spinal pain,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Herpes simplex,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Cardiac function test normal,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Limb injury,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Culture urine negative,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Epinephrine,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Coronary artery disease,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Crying,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Pulseless electrical activity,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Eosinophil count normal,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Electrolyte imbalance,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Electroencephalogram normal,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Fine motor skill dysfunction,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Eye disorder,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Hordeolum,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Fibrin D dimer normal,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Rash vesicular,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Fluid intake reduced,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Erythema of eyelid,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Haematoma,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Refusal of treatment by patient,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Dysuria,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Pulmonary hypertension,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Ejection fraction decreased,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Abdominal X-ray,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Salivary hypersecretion,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Immune thrombocytopenia,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Generalised tonic-clonic seizure,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Ear congestion,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Prothrombin time,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Eosinophil count decreased,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Red blood cell count normal,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Electrocardiogram ST segment elevation,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Eosinophil percentage,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Renal pain,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Gastrointestinal haemorrhage,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Pulse abnormal,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Herpes simplex test negative,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Eosinophil percentage increased,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Gastrointestinal disorder,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Serum ferritin increased,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Glomerular filtration rate normal,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Rash maculo-papular,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Hypothermia,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Electrocardiogram T wave inversion,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
HIV test negative,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Pupil fixed,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Enlarged uvula,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Purpura,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Hyperventilation,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Red blood cell sedimentation rate increased,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Erectile dysfunction,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
pH urine normal,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Sinus disorder,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Audiogram,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Medication error,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Blood alkaline phosphatase increased,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Incorrect product formulation administered,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Blood albumin normal,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Menstrual disorder,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Upper respiratory tract infection,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Blister rupture,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Metabolic encephalopathy,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Biopsy,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Panic reaction,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Basophil count normal,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Monocyte count increased,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Back injury,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Autoscopy,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Autoimmune disorder,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Underdose,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Blood cholesterol increased,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Ultrasound scan normal,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Blood lactic acid decreased,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Blood pH decreased,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Magnetic resonance imaging head,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Troponin I normal,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Magnetic resonance imaging head abnormal,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Blood magnesium decreased,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Blood lactic acid normal,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Magnetic resonance imaging heart,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Mean cell haemoglobin concentration,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Tryptase,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Blood immunoglobulin G,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Magnetic resonance imaging neck,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Magnetic resonance imaging spinal,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Ultrasound Doppler abnormal,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Blood electrolytes,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Pancreatitis,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Ascites,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Lymphocyte count decreased,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Painful respiration,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Nasal pruritus,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Anaphylactoid reaction,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Ammonia increased,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Osteoarthritis,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Vitamin B12 normal,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Neurological examination,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Agonal rhythm,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Neutrophil count increased,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Neutrophil percentage,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Adrenocortical insufficiency acute,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
No reaction on previous exposure to drug,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Acidosis,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Abnormal faeces,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
X-ray limb,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
X-ray limb normal,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Angiocardiogram,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Angiogram cerebral abnormal,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Angioplasty,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Musculoskeletal disorder,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Muscle discomfort,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Arteriogram coronary normal,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Muscle disorder,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Arteriogram carotid abnormal,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Muscle rigidity,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Areflexia,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Antinuclear antibody positive,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Anion gap,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Antinuclear antibody,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Myelitis transverse,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Ventricular fibrillation,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Antibody test negative,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Vertigo positional,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
PCO2 increased,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Blood potassium increased,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Menorrhagia,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Haemolytic anaemia,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Skin laceration,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Disorganised speech,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Choking,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Corneal reflex decreased,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Disability,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Tension headache,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Leukocytosis,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Cardiac stress test,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Cardiac stress test normal,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Polymerase chain reaction,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Polyuria,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Systemic inflammatory response syndrome,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Staphylococcal infection,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Sudden hearing loss,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Cerebral infarction,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Supraventricular tachycardia,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Culture urine,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Small intestinal obstruction,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Injection site hypersensitivity,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Lip blister,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Dermatitis acneiform,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Bradykinesia,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Body temperature fluctuation,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Tongue blistering,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Colonoscopy,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Intervertebral disc protrusion,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Complement factor C3,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Influenza virus test,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Thrombectomy,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Drug hypersensitivity,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
CSF protein increased,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Therapeutic response unexpected,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Influenza,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Contraindication to vaccination,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Stent placement,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Tongue disorder,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Pregnancy,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Oxygen saturation abnormal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Injection site movement impairment,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Musculoskeletal pain,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Pregnancy test positive,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Immunology test,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Nasal discomfort,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Hemiplegia,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Immunoglobulin therapy,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
N-terminal prohormone brain natriuretic peptide increased,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Hepatitis,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Mydriasis,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Packed red blood cell transfusion,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Myocarditis,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Myocardial necrosis marker,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Myocardial necrosis marker increased,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Nervous system disorder,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Near death experience,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Neutrophil percentage decreased,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Infection,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Ophthalmological examination abnormal,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Haemorrhagic stroke,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Ocular discomfort,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Occipital neuralgia,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Obstructive airways disorder,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Noninfective encephalitis,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
